date,code,name,close,ma_short,ma_long,raw_momentum,risk_adj_mom,trend_up,qdii_overdev,vol_percentile
2025-01-17,513500,标普500ETF,2.191,2.1794,2.1458,3.97,0.2445,True,False,71.9
2025-01-17,513180,恒生科技ETF,0.618,0.6091,0.6098,1.57,0.0809,False,False,71.9
2025-01-17,510300,沪深300ETF,3.687,3.7332,3.8044,-2.21,-0.123,False,False,71.9
2025-01-24,518880,黄金ETF,6.218,6.0691,5.9634,3.16,0.4157,True,False,72.6
2025-01-24,510880,红利ETF,2.924,2.9346,2.9484,-1.02,-0.0595,False,False,72.6
2025-01-24,513500,标普500ETF,2.214,2.1852,2.1627,3.8,0.2679,True,False,72.6
2025-01-24,513180,恒生科技ETF,0.636,0.612,0.6109,2.75,0.1026,True,False,72.6
2025-01-24,510300,沪深300ETF,3.718,3.698,3.7963,-2.03,-0.1122,False,False,72.6
2025-01-31,518880,黄金ETF,6.202,6.082,5.9659,3.15,0.4047,True,False,71.2
2025-01-31,510880,红利ETF,2.962,2.9312,2.9496,0.05,0.0028,False,False,71.2
2025-01-31,513500,标普500ETF,2.196,2.1855,2.1665,3.49,0.242,True,False,71.2
2025-01-31,513180,恒生科技ETF,0.642,0.6127,0.6115,3.34,0.124,True,False,71.2
2025-01-31,510300,沪深300ETF,3.696,3.69,3.795,-2.7,-0.1488,False,False,71.2
2025-02-07,518880,黄金ETF,6.42,6.1537,5.9868,6.59,0.4384,True,False,50.7
2025-02-07,510880,红利ETF,2.911,2.9098,2.949,-1.31,-0.0792,False,False,50.7
2025-02-07,513500,标普500ETF,2.192,2.1891,2.177,2.5,0.1869,True,False,50.7
2025-02-07,513180,恒生科技ETF,0.708,0.6246,0.615,15.85,0.2557,True,True,50.7
2025-02-07,510300,沪深300ETF,3.777,3.6795,3.7872,0.62,0.0405,False,False,50.7
2025-02-14,518880,黄金ETF,6.605,6.2887,6.046,9.22,0.5885,True,False,42.7
2025-02-14,510880,红利ETF,2.925,2.9033,2.9485,0.72,0.0471,False,False,42.7
2025-02-14,513500,标普500ETF,2.173,2.1861,2.185,0.65,0.0592,False,False,42.7
2025-02-14,513180,恒生科技ETF,0.748,0.6564,0.6235,20.41,0.3148,True,True,42.7
2025-02-14,510300,沪深300ETF,3.823,3.7134,3.7705,1.33,0.089,False,False,42.7
2025-02-21,518880,黄金ETF,6.568,6.4046,6.1126,7.17,0.4117,True,False,26.1
2025-02-21,510880,红利ETF,2.857,2.9048,2.9468,-2.42,-0.1893,False,False,26.1
2025-02-21,513500,标普500ETF,2.154,2.1878,2.1905,-0.47,-0.0658,False,False,26.1
2025-02-21,513180,恒生科技ETF,0.796,0.6994,0.6379,25.79,0.36875,True,True,26.1
2025-02-21,510300,沪深300ETF,3.864,3.7573,3.7678,2.85,0.2448,False,False,26.1
2025-02-28,518880,黄金ETF,6.444,6.4974,6.1629,4.47,0.2439,False,False,45.8
2025-02-28,510880,红利ETF,2.867,2.8963,2.9445,-1.03,-0.0861,False,False,45.8
2025-02-28,513500,标普500ETF,2.032,2.1584,2.1847,-7.09,-0.6223,False,False,45.8
2025-02-28,513180,恒生科技ETF,0.765,0.7415,0.6552,19.79,0.4334,True,False,45.8
2025-02-28,510300,沪深300ETF,3.783,3.7911,3.7733,0.95,0.0664,False,False,45.8
2025-03-07,518880,黄金ETF,6.526,6.5412,6.2134,4.1,0.3265,False,False,42.5
2025-03-07,510880,红利ETF,2.854,2.8804,2.9378,-2.35,-0.3048,False,False,42.5
2025-03-07,513500,标普500ETF,2.001,2.1163,2.1707,-7.58,-0.5113,False,False,42.5
2025-03-07,513180,恒生科技ETF,0.825,0.772,0.6713,20.67,0.226,True,True,42.5
2025-03-07,510300,沪深300ETF,3.828,3.811,3.7733,1.11,0.0844,True,False,42.5
2025-03-14,518880,黄金ETF,6.673,6.5416,6.2648,4.27,0.3546,True,False,65.5
2025-03-14,510880,红利ETF,2.925,2.8731,2.9273,-0.58,-0.0625,False,False,65.5
2025-03-14,513500,标普500ETF,1.93,2.0592,2.1478,-10.3,-0.629,False,False,65.5
2025-03-14,513180,恒生科技ETF,0.808,0.7906,0.6869,12.51,0.2697,True,False,65.5
2025-03-14,510300,沪深300ETF,3.895,3.8197,3.7719,1.53,0.097,True,False,65.5
2025-03-21,518880,黄金ETF,6.774,6.5892,6.3301,6.13,0.6083,True,False,68.0
2025-03-21,510880,红利ETF,2.912,2.881,2.9183,-0.46,-0.055,False,False,68.0
2025-03-21,513500,标普500ETF,1.973,2.0045,2.1233,-7.2,-0.3624,False,False,68.0
2025-03-21,513180,恒生科技ETF,0.776,0.8001,0.7029,5.74,0.1264,False,False,68.0
2025-03-21,510300,沪深300ETF,3.799,3.8302,3.7757,-1.44,-0.0893,False,False,68.0
2025-03-28,518880,黄金ETF,6.938,6.6632,6.4053,9.38,0.9531,True,False,44.9
2025-03-28,510880,红利ETF,2.939,2.9036,2.9133,0.43,0.0592,False,False,44.9
2025-03-28,513500,标普500ETF,1.963,1.9818,2.1082,-4.99,-0.258,False,False,44.9
2025-03-28,513180,恒生科技ETF,0.757,0.7927,0.7152,5.44,0.1547,False,False,44.9
