date,code,name,close,ma20,momentum,trend_up,selected
2023-12-08,510880,红利ETF,2.555,2.568,-0.08,False,False
2023-12-08,513500,标普500ETF,1.545,1.5338,3.48,True,True
2023-12-08,513180,恒生科技ETF,0.502,0.5332,-6.52,False,False
2023-12-08,510300,沪深300ETF,3.181,3.2991,-5.75,False,False
2023-12-15,518880,黄金ETF,4.59,4.5597,0.39,True,True
2023-12-15,510880,红利ETF,2.562,2.5728,0.35,False,False
2023-12-15,513500,标普500ETF,1.586,1.5454,2.99,True,True
2023-12-15,513180,恒生科技ETF,0.508,0.5214,-6.96,False,False
2023-12-15,510300,沪深300ETF,3.132,3.249,-6.62,False,False
2023-12-22,518880,黄金ETF,4.627,4.5833,2.85,True,True
2023-12-22,510880,红利ETF,2.525,2.5648,-2.62,False,False
2023-12-22,513500,标普500ETF,1.597,1.5623,4.04,True,True
2023-12-22,513180,恒生科技ETF,0.477,0.509,-12.48,False,False
2023-12-22,510300,沪深300ETF,3.126,3.1905,-5.98,False,False
2023-12-29,518880,黄金ETF,4.648,4.602,1.29,True,True
2023-12-29,510880,红利ETF,2.515,2.5486,-2.75,False,False
2023-12-29,513500,标普500ETF,1.603,1.5798,4.16,True,True
2023-12-29,513180,恒生科技ETF,0.499,0.4982,-4.22,True,False
2023-12-29,510300,沪深300ETF,3.219,3.159,-1.5,True,False
2024-01-05,518880,黄金ETF,4.664,4.615,1.75,True,True
2024-01-05,510880,红利ETF,2.628,2.5555,2.9,True,True
2024-01-05,513500,标普500ETF,1.582,1.5904,3.2,False,False
2024-01-05,513180,恒生科技ETF,0.482,0.4954,-3.98,False,False
2024-01-05,510300,沪深300ETF,3.116,3.1493,-1.83,False,False
2024-01-12,518880,黄金ETF,4.646,4.6346,1.04,True,True
2024-01-12,510880,红利ETF,2.594,2.5616,0.58,True,False
2024-01-12,513500,标普500ETF,1.616,1.6006,1.44,True,True
2024-01-12,513180,恒生科技ETF,0.467,0.4868,-6.6,False,False
2024-01-12,510300,沪深300ETF,3.069,3.1224,-2.23,False,False
2024-01-19,518880,黄金ETF,4.643,4.6485,0.83,False,False
2024-01-19,510880,红利ETF,2.534,2.569,0.2,False,False
2024-01-19,513500,标普500ETF,1.626,1.606,2.39,True,True
2024-01-19,513180,恒生科技ETF,0.42,0.47,-16.33,False,False
2024-01-19,510300,沪深300ETF,3.064,3.1078,-1.79,False,False
2024-01-26,518880,黄金ETF,4.625,4.6426,-0.79,False,False
2024-01-26,510880,红利ETF,2.664,2.5796,6.56,True,True
2024-01-26,513500,标普500ETF,1.654,1.6203,3.05,True,True
2024-01-26,513180,恒生科技ETF,0.43,0.4557,-14.34,False,False
2024-01-26,510300,沪深300ETF,3.118,3.0884,-2.84,True,False
2024-02-02,518880,黄金ETF,4.679,4.6421,0.32,True,True
2024-02-02,510880,红利ETF,2.627,2.5952,-0.04,True,False
2024-02-02,513500,标普500ETF,1.688,1.6398,6.7,True,True
2024-02-02,513180,恒生科技ETF,0.41,0.4362,-14.94,False,False
2024-02-02,510300,沪深300ETF,2.977,3.0539,-4.46,False,False
2024-02-09,518880,黄金ETF,4.662,4.643,0.67,True,False
2024-02-09,510880,红利ETF,2.72,2.6121,5.47,True,True
2024-02-09,513500,标普500ETF,1.745,1.6602,7.52,True,True
2024-02-09,513180,恒生科技ETF,0.428,0.4279,-9.7,True,False
2024-02-09,510300,沪深300ETF,3.151,3.0584,2.31,True,False
2024-02-16,518880,黄金ETF,4.662,4.643,0.67,True,False
2024-02-16,510880,红利ETF,2.72,2.6121,5.47,True,True
2024-02-16,513500,标普500ETF,1.745,1.6602,7.52,True,True
2024-02-16,513180,恒生科技ETF,0.428,0.4279,-9.7,True,False
2024-02-16,510300,沪深300ETF,3.151,3.0584,2.31,True,False
2024-02-23,518880,黄金ETF,4.63,4.6407,0.3,False,False
2024-02-23,510880,红利ETF,2.867,2.6744,12.17,True,True
2024-02-23,513500,标普500ETF,1.766,1.691,9.69,True,True
2024-02-23,513180,恒生科技ETF,0.46,0.4289,6.73,True,False
2024-02-23,510300,沪深300ETF,3.267,3.1008,6.87,True,False
2024-03-01,518880,黄金ETF,4.667,4.647,1.35,True,False
2024-03-01,510880,红利ETF,2.822,2.7452,7.59,True,True
2024-03-01,513500,标普500ETF,1.781,1.7199,6.9,True,True
2024-03-01,513180,恒生科技ETF,0.469,0.4383,5.63,True,False
2024-03-01,510300,沪深300ETF,3.319,3.155,6.24,True,False
2024-03-08,518880,黄金ETF,4.881,4.6908,4.56,True,False
2024-03-08,510880,红利ETF,2.904,2.8013,10.88,True,True
2024-03-08,513500,标普500ETF,1.8,1.7504,8.43,True,False
2024-03-08,513180,恒生科技ETF,0.458,0.448,11.44,True,True
2024-03-08,510300,沪深300ETF,3.322,3.2235,10.48,True,False
2024-03-15,518880,黄金ETF,4.899,4.7491,5.08,True,False
2024-03-15,510880,红利ETF,2.786,2.8343,2.43,False,False
2024-03-15,513500,标普500ETF,1.775,1.7704,1.72,True,False
2024-03-15,513180,恒生科技ETF,0.477,0.4626,11.45,True,True
2024-03-15,510300,沪深300ETF,3.35,3.2953,6.32,True,True
2024-03-22,518880,黄金ETF,4.946,4.8159,6.83,True,True
